escenario,nivel,mu_V,sigma_V,cuenta,Pe
FFE+CTLE,-3,-3.1684,0.2197,221,3.855e-07
FFE+CTLE,-1,-0.9970,0.2364,209,6.183e-06
FFE+CTLE,+1,1.1138,0.2397,223,1.972e-05
FFE+CTLE,+3,3.1196,0.2527,234,3.620e-05
FFE+CTLE+DFE,-3,-3.1700,0.1964,221,1.365e-08
FFE+CTLE+DFE,-1,-0.9866,0.1966,209,6.271e-08
FFE+CTLE+DFE,+1,1.1105,0.2068,223,7.760e-07
FFE+CTLE+DFE,+3,3.1213,0.2261,234,4.340e-06

escenario,umbral_1_V,umbral_2_V,umbral_3_V,SER,BER,apertura_ojo_V
FFE+CTLE,-2.0827,0.0584,2.1167,1.606e-05,8.030e-06,0.5284
FFE+CTLE+DFE,-2.0783,0.0619,2.1159,1.358e-06,6.791e-07,0.7124
