canal,criterio_canal,busqueda,criterio,fz_GHz,c_post,FFE+CTLE_GBaud,desv,+DFE_GBaud,desv,evaluaciones
FR-4,equal_il,LHS-30,tasa,2.35,-0.207,9.52,0.22,9.63,0.21,390
FR-4,equal_il,LHS-30,mmse,1.45,-0.056,9.58,0.16,9.92,0.19,30
FR-4,equal_il,LHS-30,zf,9.85,-0.266,7.82,0.13,8.01,0.17,30
FR-4,equal_il,LHS-30,ojo,3.25,-0.301,9.40,0.22,9.51,0.22,30
FR-4,equal_il,grid 13x13,tasa,1.75,-0.079,9.73,0.17,9.78,0.20,2197
Megtron 6,equal_il,LHS-30,tasa,2.65,-0.114,11.80,0.55,12.14,0.40,390
Megtron 6,equal_il,LHS-30,mmse,4.75,-0.289,11.80,0.40,11.93,0.35,30
Megtron 6,equal_il,LHS-30,zf,4.45,-0.079,9.60,0.54,10.58,0.35,30
Megtron 6,equal_il,LHS-30,ojo,6.85,-0.371,11.67,0.32,11.85,0.33,30
Megtron 6,equal_il,grid 13x13,tasa,2.50,-0.050,11.90,0.54,12.27,0.42,2197
FR-4,fixed,LHS-30,tasa,5.35,-0.149,24.24,0.36,24.50,0.41,390
FR-4,fixed,LHS-30,mmse,4.15,-0.138,24.64,0.33,25.71,0.34,30
FR-4,fixed,LHS-30,zf,9.55,-0.102,18.24,0.46,20.08,0.37,30
FR-4,fixed,LHS-30,ojo,4.45,-0.079,24.53,0.34,24.89,0.38,30
FR-4,fixed,grid 13x13,tasa,4.75,-0.138,24.63,0.32,25.04,0.38,2197
