canal,escenario,Nsym,tasa_viable_GBaud,desv
FR-4,C (FFE+CTLE),500,13.69,0.42
FR-4,C (FFE+CTLE),1000,13.78,0.29
FR-4,C (FFE+CTLE),2000,13.74,0.3
FR-4,C (FFE+CTLE),4000,13.81,0.2
FR-4,C (FFE+CTLE),8000,13.76,0.2
FR-4,C (FFE+CTLE),16000,13.74,0.18
FR-4,D (+DFE),500,27.36,0.86
FR-4,D (+DFE),1000,27.12,0.32
FR-4,D (+DFE),2000,27.05,0.38
FR-4,D (+DFE),4000,27.08,0.27
FR-4,D (+DFE),8000,27.03,0.13
FR-4,D (+DFE),16000,27.11,0.16
Megtron 6,C (FFE+CTLE),500,16.71,0.31
Megtron 6,C (FFE+CTLE),1000,16.73,0.18
Megtron 6,C (FFE+CTLE),2000,16.73,0.16
Megtron 6,C (FFE+CTLE),4000,16.77,0.06
Megtron 6,C (FFE+CTLE),8000,16.76,0.07
Megtron 6,C (FFE+CTLE),16000,16.77,0.05
FR-4,stats_mu_sigma,500,mu=[-4.053 -1.176  1.467  3.731],sig=[0.731 0.822 0.703 0.649]
FR-4,stats_mu_sigma,1000,mu=[-3.97  -1.267  1.37   3.852],sig=[0.741 0.749 0.698 0.695]
FR-4,stats_mu_sigma,2000,mu=[-3.974 -1.285  1.352  3.877],sig=[0.719 0.725 0.721 0.679]
FR-4,stats_mu_sigma,4000,mu=[-3.665 -1.213  1.24   3.641],sig=[0.695 0.695 0.715 0.682]
FR-4,stats_mu_sigma,8000,mu=[-3.932 -1.304  1.328  3.91 ],sig=[0.703 0.727 0.707 0.702]
FR-4,stats_mu_sigma,16000,mu=[-3.933 -1.302  1.319  3.916],sig=[0.705 0.712 0.714 0.702]
