canal,eq,escala,DJ_pp_UI,RJ_UI,viable2d_GBaud,desv
FR-4,EQ-RC,0,0.0,0.0,27.03,0.83
FR-4,EQ-RC,1,0.05,0.01,26.96,0.82
FR-4,EQ-RC,2,0.1,0.02,26.8,0.79
FR-4,EQ-RC,3,0.15,0.03,26.56,0.67
FR-4,EQ-RC,4,0.2,0.04,25.99,0.28
FR-4,EQ-RC,5,0.25,0.05,24.75,0.41
FR-4,EQ-RC,6,0.3,0.06,22.94,0.27
FR-4,EQ-RC,6.5,0.325,0.065,19.89,1.28
FR-4,EQ-RC,7,0.35,0.07,9.79,1.12
FR-4,EQ-RC,7.5,0.375,0.075,1.35,2.71
FR-4,EQ-RC,8,0.4,0.08,0.0,0.0
FR-4,γ-opt,0,0.0,0.0,27.42,0.99
FR-4,γ-opt,1,0.05,0.01,27.37,0.99
FR-4,γ-opt,2,0.1,0.02,27.05,1.06
FR-4,γ-opt,3,0.15,0.03,26.49,1.21
FR-4,γ-opt,4,0.2,0.04,25.97,1.36
FR-4,γ-opt,5,0.25,0.05,24.97,1.12
FR-4,γ-opt,6,0.3,0.06,22.56,1.11
FR-4,γ-opt,6.5,0.325,0.065,2.57,3.15
FR-4,γ-opt,7,0.35,0.07,0.0,0.0
FR-4,γ-opt,7.5,0.375,0.075,0.0,0.0
FR-4,γ-opt,8,0.4,0.08,0.0,0.0
Megtron 6,EQ-RC,0,0.0,0.0,32.0,0.0
Megtron 6,EQ-RC,1,0.05,0.01,32.0,0.0
Megtron 6,EQ-RC,2,0.1,0.02,32.0,0.0
Megtron 6,EQ-RC,3,0.15,0.03,32.0,0.0
Megtron 6,EQ-RC,4,0.2,0.04,32.0,0.0
Megtron 6,EQ-RC,5,0.25,0.05,32.0,0.0
Megtron 6,EQ-RC,6,0.3,0.06,29.04,5.93
Megtron 6,EQ-RC,6.5,0.325,0.065,11.3,2.04
Megtron 6,EQ-RC,7,0.35,0.07,3.76,3.08
Megtron 6,EQ-RC,7.5,0.375,0.075,0.0,0.0
Megtron 6,EQ-RC,8,0.4,0.08,0.0,0.0
Megtron 6,γ-opt,0,0.0,0.0,32.0,0.0
Megtron 6,γ-opt,1,0.05,0.01,32.0,0.0
Megtron 6,γ-opt,2,0.1,0.02,32.0,0.0
Megtron 6,γ-opt,3,0.15,0.03,32.0,0.0
Megtron 6,γ-opt,4,0.2,0.04,32.0,0.0
Megtron 6,γ-opt,5,0.25,0.05,32.0,0.0
Megtron 6,γ-opt,6,0.3,0.06,32.0,0.0
Megtron 6,γ-opt,6.5,0.325,0.065,32.0,0.0
Megtron 6,γ-opt,7,0.35,0.07,11.39,0.92
Megtron 6,γ-opt,7.5,0.375,0.075,12.72,9.71
Megtron 6,γ-opt,8,0.4,0.08,0.0,0.0
