barrido,valor,aten_dbin_nyq,tasa_viable_GBaud,desv
tan_d,0.002,0.186,16.77,0.1
tan_d,0.004,0.201,16.45,0.16
tan_d,0.008,0.23,15.53,0.24
tan_d,0.012,0.259,14.86,0.15
tan_d,0.016,0.289,14.52,0.21
tan_d,0.02,0.318,14.03,0.22
tan_d,0.025,0.355,13.69,0.16
longitud_in,5,0.322,15.14,0.1
longitud_in,8,0.322,14.36,0.19
longitud_in,10,0.322,13.63,0.26
longitud_in,14,0.322,12.79,0.12
longitud_in,20,0.322,10.55,0.15
longitud_in,26,0.322,8.21,0.18
longitud_in,32,0.322,6.35,0.11
rugosidad_um,0.0,0.322,13.63,0.26
rugosidad_um,0.1,0.323,13.61,0.29
rugosidad_um,0.3,0.329,13.67,0.23
rugosidad_um,0.5,0.34,13.54,0.21
rugosidad_um,0.7,0.356,13.31,0.17
rugosidad_um,1.0,0.385,13.1,0.15
