canal,escenario,GBaud,BER_semi,BER_MC,errores,simbolos
FR-4,C (FFE+CTLE),12,2.128e-03,3.475e-04,333,479101
FR-4,C (FFE+CTLE),14,9.289e-03,6.914e-03,6625,479089
FR-4,C (FFE+CTLE),16,2.393e-02,2.317e-02,22198,479077
FR-4,C (FFE+CTLE),18,4.170e-02,4.282e-02,41030,479069
FR-4,C (FFE+CTLE),20,5.742e-02,6.079e-02,58241,479057
FR-4,C (FFE+CTLE),22,7.162e-02,7.688e-02,73662,479045
FR-4,C (FFE+CTLE),24,8.413e-02,9.077e-02,86968,479033
FR-4,D (+DFE),12,1.612e-05,0.000e+00,0,479101
FR-4,D (+DFE),14,5.892e-05,0.000e+00,0,479089
FR-4,D (+DFE),16,1.914e-04,7.305e-06,7,479077
FR-4,D (+DFE),18,6.041e-04,3.444e-05,33,479069
FR-4,D (+DFE),20,1.307e-03,1.273e-04,122,479057
FR-4,D (+DFE),22,2.546e-03,4.008e-04,384,479045
FR-4,D (+DFE),24,4.588e-03,1.078e-03,1033,479033
Megtron 6,C (FFE+CTLE),12,4.690e-05,1.044e-06,1,479105
Megtron 6,C (FFE+CTLE),14,2.092e-03,4.185e-04,401,479097
Megtron 6,C (FFE+CTLE),16,8.341e-03,1.957e-03,1875,479085
Megtron 6,C (FFE+CTLE),18,1.956e-02,1.561e-02,14953,479073
Megtron 6,C (FFE+CTLE),20,3.911e-02,4.095e-02,39237,479065
Megtron 6,C (FFE+CTLE),22,5.967e-02,6.645e-02,63662,479053
Megtron 6,C (FFE+CTLE),24,7.754e-02,8.746e-02,83795,479045
Megtron 6,D (+DFE),12,7.335e-08,0.000e+00,0,479105
Megtron 6,D (+DFE),14,5.486e-08,1.044e-06,1,479097
Megtron 6,D (+DFE),16,1.528e-06,0.000e+00,0,479085
Megtron 6,D (+DFE),18,1.723e-06,0.000e+00,0,479073
Megtron 6,D (+DFE),20,2.165e-06,0.000e+00,0,479065
Megtron 6,D (+DFE),22,2.705e-06,0.000e+00,0,479053
Megtron 6,D (+DFE),24,1.898e-05,0.000e+00,0,479045
